No,Wolof,Français,Anglais,Espagnol,Catalan
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Do you speak English ?,¿Hablas español?,Parles anglès ?
29,Dégg nga ?,Comprenez-vous ?,Do you understand ?,¿Me entiendes?,Ho entens?
30,Dégg naa,Je comprends,I understand,Entiendo,Comprenc
31,Dégguma,Je ne comprends pas,I don’t understand,No entiendo,No ho entenc
32,Nanga tudd ?,Quel est ton nom ?,What is your name ?,¿Cuál es tú nombre?,Quin és el teu nom ?
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,How was your night ?,¿Cómo te fue anoche?,Com va ser la teva nit?
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,How much is it from here to Sandaga ?,¿A qué distancia está Sandanga desde aquí?,Quant costa anar a Sandaga ?
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,Where is the toilet ?,¿Dónde está el baño?,On és el bany ?
36,Neexoon na,C'était bon,It was good,Estuvo bien,Va ser bo
37,Mi ngi ci jàmm,Il/Elle va bien,He/She is fine,El/Ella está bien,Està bé
38,Ñaata lay jar ?,Combien ça coûte ?,How much is it ?,¿Cuánto es?,Quant costa ?
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,How much are you selling this for ?,¿Cuánto cuesta esto?,Per quant el veneu ?
40,Seer na lool,C'est très cher,That’s very expensive,Eso es muy caro,Això és molt car
41,Wagniil mako,Diminue moi ça,Turn it down for me,Baja el precio,Rebutja-ho per a mi
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,What do we eat ?,¿Qué vamos a comer?,Què mengem ?
43,Naka nga yendo ?,Comment s'est passée ta journée ?,How was your day ?,¿Cómo fue tu día?,Com h'anat el dia ?
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,the day before yesterday I went to your house,Antes de ayer fuí a tu casa,Vaig anar a casa seva el dia abans d'ahir
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,I came to bring you your money,Vine a traerte tú dinero,Vaig venir a donar-te diners
46,Dama nékone daara dja,J'étais à l'école,I was at school,Estaba en la escuela,Jo estava a l'escola
47,Damay saakou xam-xam,Je suis à la quête de connaissance,I am on a quest for knowledge,Estoy en búsqueda de conocimiento,Estic a la recerca del coneixement
48,Nianal ma !,Prie pour moi !,Pray for me !,¡Reza por mi!,Pregueu per mi!
49,Témérri Diouni,Cent milles,One hundred thousand,Cien mil,Cent mil
50,Damala beug,Je t'aime,I love you,Te amo,T'estimi
51,Dama gueuméntou,J'ai sommeil,I feel sleepy,Tengo mucho sueño,Estic cansat
52,Dama beug nelaw,Je veux dormir,I want to sleep,Quiero dormir,Vull anar-me'n al llit
53,Fane nga dieum ni ?,Où vas-tu ?,Where are you going ?,¿A dónde vas?,On vas ?
54,Nélaww gua bou baxx ?,as tu bien dormi ?,did you sleep well ?,¿Dormiste bien?,Has dormit bé ?
55,Testou sansement bant yi,Test des mises à jours des branches,Branches updating tests ?,Actualizando ramas de prueba,Actualitzacions de la branca de proves
56,Yalla baxna,ça ira,it will be fine,Todo estará bien,Estarà bé
57,fane yi dara doxoul,Rien ne marche ces temps-ci,Nothing works these days,Nada funciona estos últimamente,Res no funciona bé en aquests dies.
58,Dieureudieuf,Merci,Thanks !!,¡¡Gracias!!,Gràcies
59,Touti,un peu,A little,Un poco,Una mica
60,Kay,viens,Come,Ven,Vine
61,Kay Agne,viens manger,come to eat,Ven a comer,Vine a menjar
62,Damay touki,je voyage,I travel,Yo viajo,Viatjo
63,Bokk na,Je participe,I participate,Yo participo,Hi participo
64,Dama beugue diangue.,J'aime les études.,I love studies,Yo amo estudiar,M'encanten els estudis
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,There are a lot of people in the house.,Hay mucha gente en esta casa,Hi ha molta gent a la casa.
66,Ab paaka la yore.,Il a un couteau sur lui.,He has a knife on him.,El carga un cuchillo,Té un ganivet al damunt.
67,Dama khiff.,J'ai faim.,I'm hungry.,Tengo hambre,Tinc gana.
68,Dama ame ndadjé.,J'ai un rendez-vous.,I have an a appointment.,Tengo una cita,Tinc una cita.
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,I have not eaten my breakfast.,No he desayunado,No he esmorzat.
70,Awa diangue Kate la.,Awa est un bon élève,Awa is a good student.,Awa es una buena estudiante,Awa és un bon estudiant
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,My elder sister cooks the lunch.,Mi hermana mayor cocina el almuerzo,La meva germana gran prepara el menjar.
72,Beugouma carote.,Je n'aime pas les carottes.,I don’t like carrots.,No me gustan las zanahorias,No m'agraden les pastanagues.
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Right now I learn with Médoune.,Ahora mismo aprendo con Médoune,Ara aprenc amb Médoune.
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,My mother likes apples.,A mi mamá le gustan las manzanas,A la meva mare li agraden les pomes.
75,Dama taxaw!,Je suis debout!,I'm standing up!,¡Estoy de pie!,
76,Beugouma,Je n'aime pas,I don’t like.,No me gusta.,
77,Maa ngi dem,Je m’en vais,I am leaving.,Me voy.,
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,Until next time God willing.,Hasta la próxima vez si Dios quiere,
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,Whoever gets up before the breakfast manager can go back to bed.,Quien se levante antes que el encargado del desayuno puede volver a la cama,
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,The hen must not have to betroth a wild cat,La gallina no debe tener que desposar a un gato salvaje,
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,Sometimes a baobab tree has thorns,A veces un árbol baobab tiene espinas,
82,Daay fay!,Ca paye!,It pays!,Vale la pena!,
83,Ko yaab iow!,Tu qui on se moques là,Who are you kidding!,A quien estas engañando!,
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,So you're like that!,¡Oh sí eres así!,
85,Dama taxaw!,Je suis debout!,I'm standing up!,¡Estoy de pie!,
86,Dama invité sama gel,J'ai invité ma petite copine,I invited my girlfriend,invité a mi novia,
87,Yomb na,C’est très bon marché,It's very cheap,,
88,Bare na,C’est trop cher,It's too expensive,,
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,Until next time God willing,,
90,Degg nga Français,Parlez-vous Français,Do you speak French,,
91,Deedeet jërëjëf,Non merci,No thanks,,
92,Amul solo,De rien,You're welcome,,
93,Niokobok,Je vous en prie,You are welcome,,
94,Li lan la,Qu’est-ce que c’est ?,What is that ?,,
95,Dema fe ñëw wakansu,Je suis ici en vacances,I'm here on vacation,,
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,I'm here for work,,
97,Demay Xool rek,Je ne fais que regarder,I just watch,,
98,Dama bëgga dem,Je voudrais aller,I would like to go,,
99,Ndax mën naa fi luwe,Je voudrais louer,I would like to rent,,
100,Neex na torop,C’était délicieux,That was delicious,,
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,What do you recommend me ?,,
102,Du ma lek yapp,Je suis végétarien,I am vegetarian,,
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Without spices (I don't like spices),,
104,Tang na,C’est trop chaud,It's too hot,,
105,Sama yara nangu wu ko,Je suis allergique,I am allergic,,
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Give me water to drink,,
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,I need to see a doctor,,
108,Wootel doctor,Appelez un médecin,Call a doctor,,
109,Ana hoppital ?,Où est l’hôpital ?,Where is the hospital ?,,
110,Dama feebar,Je ne me sens pas très bien,I do not feel very well,,
111,Fi moy meeti,J’ai mal ici,I hurt here,,
112,Ana wanak wi ?,Où sont les toilettes ?,Where are the toilets ?,,
113,Wollu !,A l’aide !,Help !,,
114,Dema reer,Je suis perdu(e),I'm lost,,
115,sama Dom leuh,c'est mon fils,he's my son,es mi hijo,és el meu fill
116,Yàlla,Dieu,God,Dios,Déu
117,Taax,Bâtiment,Building,Edificio,Edifici
118,Keur,Maison,House,Casa,Casa
119,Xalaat,Penser,Think,Piensar,Piensat
120,Mayma ndox,Donne moi de l'eau,Give me water,,
